episode,reward
762,-13347.556007954576
763,-13207.505555514756
764,-13059.455103074932
765,-12683.63249115111
766,-13047.181792887859
767,-13032.94248996497
768,-13252.018168624705
769,-12911.4046506351
770,-12951.917263745056
771,-13105.967716184883
772,-13136.903499932023
773,-12446.283502304303
774,-13070.574754536367
775,-13030.94248996497
776,-13367.556007954574
777,-12700.328971975376
778,-13276.530781734662
779,-12803.866811305232
780,-13022.94248996497
781,-13156.296461580536
782,-13248.01816862471
783,-13353.556007954576
784,-12728.84158508533
785,-13022.942489964977
786,-13071.455103074924
787,-12915.404650635108
788,-12838.379424415189
789,-13242.018168624707
790,-13359.556007954576
791,-13036.942489964977
792,-12325.202840875816
793,-13172.992942404795
794,-12898.892037525151
795,-12982.429876855012
796,-13018.942489964973
797,-12694.328971975367
798,-13351.556007954576
799,-13355.556007954576
800,-12297.809879227298
801,-12657.816358865406
802,-12951.917263745056
803,-13035.365660602152
804,-12799.866811305232
805,-12499.49259623852
806,-12953.917263745065
807,-12488.372944777073
808,-12469.253293315627
809,-12842.379424415194
810,-12951.917263745067
811,-12953.460085843684
812,-13105.967716184881
813,-12467.253293315625
814,-12550.278519535548
815,-12795.866811305239
816,-12772.473849656717
817,-13026.942489964973
818,-12915.404650635108
819,-13213.50555551475
820,-12945.91726374507
821,-13359.556007954576
822,-12519.765906425582
823,-13248.018168624707
824,-12331.202840875827
825,-12986.429876855012
826,-13278.530781734666
827,-12296.690227765856
828,-13103.96771618489
829,-13132.480329294838
830,-13170.992942404797
831,-13200.992942404795
832,-12917.404650635106
833,-12911.404650635104
834,-13215.50555551475
835,-13244.018168624707
836,-13148.480329294842
837,-13109.967716184883
838,-13093.967716184881
839,-12273.993746941587
840,-12876.892037525153
841,-13373.556007954576
842,-12653.816358865426
843,-13138.480329294842
844,-12558.278519535552
845,-13124.48032929484
846,-12597.910784106934
847,-13276.530781734662
848,-13359.556007954576
849,-13248.018168624707
850,-12803.866811305232
851,-13182.992942404793
852,-13101.967716184887
853,-13199.50555551475
854,-12730.841585085333
855,-12295.80987922729
856,-12834.379424415187
857,-12862.618727338071
858,-13298.530781734664
859,-13282.530781734662
860,-12916.947472733727
861,-12767.354198195275
862,-12722.841585085333
863,-12984.429876855023
864,-13020.94248996497
865,-13067.455103074928
866,-13023.365660602154
867,-13124.480329294844
868,-12876.892037525144
869,-12464.556812491383
870,-13375.556007954574
871,-12803.170330480974
872,-13284.530781734662
873,-13294.530781734662
